   0.00000000       2999.9999329447746     
  0.100000001       3185.5095641622888     
  0.200000003       3382.4904700610250     
  0.300000012       3591.6519946354083     
  0.400000006       3813.7473452617805     
  0.500000000       4049.5763050583978     
  0.600000024       4299.9881129683936     
  0.699999988       4565.8845219371278     
  0.800000012       4848.2230461966565     
  0.900000036       5148.0204093510483     
   1.00000000       5466.3562056793908     
   1.10000002       5804.3767878411236     
   1.20000005       6163.2993949836364     
   1.30000007       6544.4165361177820     
   1.39999998       6949.1006445461817     
   1.50000000       7378.8090201052955     
   1.60000002       7835.0890770186825     
   1.70000005       8319.5839162593566     
   1.80000007       8834.0382424877844     
   1.89999998       9380.3046468728990     
   2.00000000       9960.3502784210377     
   2.10000014       10576.263927836830     
   2.20000005       11230.263549425563     
   2.29999995       11924.704248123997     
   2.40000010       12662.086760421584     
   2.50000000       13445.066459712536     
   2.60000014       14276.462918507774     
   2.70000005       15159.270061941015     
   2.79999995       16096.666949132594     
   2.90000010       17092.029221235589     
   3.00000000       18148.941257389542     
   3.10000014       19271.209082356403     
   3.20000005       20462.874072320039     
   3.29999995       21728.227508205066     
   3.40000010       23071.826028922620     
   3.50000000       24498.508040191478     
   3.60000014       26013.411138023937     
   3.70000005       27621.990609619956     
   3.79999995       29330.039078292564     
   3.90000010       31143.707363167650     
   4.00000000       33069.526628775537     
   4.09999990       35114.431904296696     
   4.20000029       37285.787057156464     
   4.30000019       39591.411310900461     
   4.40000010       42039.607402843933     
   4.50000000       44639.191482892718     
   4.59999990       47399.524861204118     
   4.70000029       50330.547719013368     
   4.80000019       53442.814904021187     
   4.90000010       56747.533939244364     
   5.00000000       60256.605382202404     
