   0.00000000       100000.00000000000     
  0.100000001       106183.65451213259     
  0.200000003       112749.68485551934     
  0.300000012       119721.73583050293     
  0.400000006       127124.91435018928     
  0.500000000       134985.87985244946     
  0.600000024       143332.94030268732     
  0.699999988       152196.15413308673     
  0.800000012       161607.43848542962     
  0.900000036       171600.68414727578     
   1.00000000       182211.87759539919     
   1.10000002       193479.23058596859     
   1.20000005       205443.31775813721     
   1.30000007       218147.22274656314     
   1.39999998       231636.69332902294     
   1.50000000       245960.30616781776     
   1.60000002       261169.64173821916     
   1.70000005       277319.47007388505     
   1.80000007       294467.94799813104     
   1.89999998       312676.82855130167     
   2.00000000       332011.68336840736     
   2.10000014       352542.13880782516     
   2.20000005       374342.12668138399     
   2.29999995       397490.15048873046     
   2.40000010       422069.56811470946     
   2.50000000       448168.89200777322     
   2.60000014       475882.10792038648     
   2.70000005       505309.01335923711     
   2.79999995       536555.57696403819     
   2.90000010       569734.32010907400     
   3.00000000       604964.72210166662     
   3.10000014       642373.65043671674     
   3.20000005       682095.81765669759     
   3.29999995       724274.26646229357     
   3.40000010       769060.88482060435     
   3.50000000       816616.95292586053     
   3.60000014       867113.72398230003     
   3.70000005       920733.04090065241     
   3.79999995       977667.99112900125     
   3.90000010       1038123.6019761257     
   4.00000000       1102317.5789312357     
   4.09999990       1170481.0896388476     
   4.20000029       1242859.5963519588     
   4.30000019       1319713.7398612495     
   4.40000010       1401320.2780834134     
   4.50000000       1487973.0826885474     
   4.59999990       1579984.1973555360     
   4.70000029       1677684.9614662933     
   4.80000019       1781427.2032853737     
   4.90000010       1891584.5069216872     
   5.00000000       2008553.5576347506     
